grid_id,latitude,longitude,Mean_B2,Mean_B3,Mean_B4,Mean_B8,Mean_B11,Mean_B12,Mean_NBR,Std_NBR,Burn_Label
4263,-1.740044,110.059436,937.302939,1172.894669,901.336121,3962.219156,1849.704636,1054.958396,0.576239,0.056317,0
4264,-1.735521,110.059438,1037.831797,1271.014620,1005.015054,3869.517772,1961.178134,1116.959228,0.550167,0.030919,0
4265,-1.730998,110.059440,1099.902710,1339.104137,1048.273857,4014.426306,2076.662267,1196.159759,0.540477,0.024703,0
4266,-1.726475,110.059443,1000.091259,1240.867749,964.662922,3734.852083,2065.718298,1183.544520,0.517677,0.033351,0
4267,-1.721952,110.059445,968.885990,1198.243204,925.611997,3723.414000,1967.749336,1153.116758,0.526900,0.030590,0
4268,-1.717429,110.059447,885.451678,1119.840350,865.871610,3800.738269,1996.792304,1159.424696,0.532417,0.031534,0
4269,-1.712906,110.059449,885.565177,1104.002202,930.171561,3779.652502,2073.480452,1239.080620,0.505934,0.045083,0
4270,-1.708383,110.059451,946.177153,1126.428350,983.710789,3704.639111,2355.352860,1443.939780,0.438406,0.074478,0
4271,-1.703860,110.059454,1038.142250,1239.081276,1005.212074,3939.548477,2133.597512,1262.268367,0.513684,0.080622,0
4272,-1.699337,110.059456,1050.313382,1269.075316,995.793039,4019.197944,1849.227667,1144.378818,0.556581,0.025157,0
4273,-1.694814,110.059458,1000.201189,1226.137724,973.185990,3818.142091,1579.156066,1015.008000,0.573137,0.053511,0
4274,-1.690291,110.059460,1126.139175,1327.960862,1067.388861,3974.916009,1611.967877,1071.380293,0.570594,0.048644,0
4275,-1.685768,110.059462,1068.944795,1249.177193,989.558093,3816.647893,1771.387875,1128.790608,0.538238,0.060573,0
4276,-1.681245,110.059464,961.437475,1126.026087,897.679577,3528.587333,1725.426882,1039.502666,0.542676,0.064795,0
4277,-1.676722,110.059467,994.270762,1191.959249,951.394107,3486.621565,1870.215305,1134.271375,0.506840,0.085271,0
4278,-1.672199,110.059469,1028.440633,1212.319310,1030.821886,3439.903527,2135.181492,1311.237903,0.447537,0.092072,0
4279,-1.667676,110.059471,1060.683339,1214.443607,1080.314979,3185.869435,2242.150358,1465.156681,0.365991,0.103722,0
4280,-1.663153,110.059473,1052.295187,1243.272649,1066.494486,3449.424417,2153.100047,1348.891294,0.436078,0.091586,0
4281,-1.658630,110.059475,968.729730,1208.886530,978.508333,3510.332646,2040.833291,1226.318334,0.482300,0.055900,0
4282,-1.654107,110.059477,1079.636539,1274.210458,1117.253197,3466.860625,2272.828593,1402.663019,0.423304,0.088741,0
4283,-1.649584,110.059479,1123.869153,1307.627464,1114.432089,3748.527362,2254.216949,1354.738614,0.468814,0.078422,0
4284,-1.645061,110.059482,1184.816993,1331.432723,1159.762822,3504.630801,2322.163730,1431.073238,0.418025,0.076912,0
4285,-1.640538,110.059484,1261.361206,1388.620453,1209.266667,3777.237028,2338.514698,1450.890630,0.444558,0.075754,0
4286,-1.636015,110.059486,1142.157410,1290.136261,1109.335334,3732.828916,2236.836698,1381.089930,0.459156,0.071474,0
4287,-1.629366,110.061217,995.861111,1251.856790,1054.064815,3688.901431,2269.743857,1341.630864,0.466310,0.036318,0
4288,-1.631525,110.059461,1125.791123,1305.675544,1095.085074,3833.964515,2224.362896,1342.395212,0.480890,0.063380,0
4289,-1.626853,110.059564,1133.491996,1322.146172,1093.252933,3957.393357,2160.865662,1338.619952,0.492565,0.079677,0
4290,-1.628977,110.058221,1154.900500,1288.839352,1109.762265,3567.964660,2229.247259,1425.581793,0.426462,0.083508,0
4291,-1.622446,110.059492,1087.020437,1316.780190,1066.159118,3975.626621,2056.063947,1264.724279,0.515846,0.091208,0
4292,-1.617923,110.059494,1012.178102,1258.595839,998.265982,4014.063499,2004.763508,1235.897041,0.527807,0.069607,0
4293,-1.613400,110.059496,1028.482512,1209.391739,1039.934914,3665.859068,2309.844804,1461.160625,0.425538,0.115090,0
4294,-1.608877,110.059498,1011.826671,1158.693666,1043.583425,3517.611248,2497.528117,1544.104138,0.388660,0.105927,0
4295,-1.604354,110.059500,864.684649,1042.861880,867.336861,3734.893956,2165.380512,1274.000814,0.490491,0.077261,0
4296,-1.599831,110.059503,894.185756,1043.125391,906.496237,3641.489950,2262.094140,1345.484999,0.458860,0.099415,0
4297,-1.595308,110.059505,946.213491,1083.474447,927.617294,3395.703054,2108.269703,1269.657342,0.452494,0.099632,0
4298,-1.590785,110.059507,1022.237917,1193.904964,1012.060952,3850.320764,2330.709585,1395.127108,0.467270,0.074891,0
4299,-1.586262,110.059509,967.577835,1146.861788,949.701287,3957.547607,2141.271325,1238.120994,0.523133,0.041365,0
4300,-1.581739,110.059511,951.105808,1200.340562,924.474799,4238.413756,2048.787971,1163.119643,0.567580,0.054151,0
4301,-1.577216,110.059513,950.604764,1236.846709,920.932992,4215.006938,2006.065719,1179.449102,0.555554,0.092781,0
