pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max
231,-0.409295,110.410247,1,0.5,6.31
232,-0.409295,110.413616,1,0.5,6.31
233,-0.409295,110.416985,2,0.5,17.32
234,-0.409295,110.420353,1,0.5,17.32
235,-0.409295,110.423722,1,0.5,17.32
236,-0.409295,110.427091,1,0.5,22.99
237,-0.409295,110.430459,1,0.5,22.99
238,-0.409295,110.433828,1,0.5,22.99
239,-0.409295,110.437197,1,0.5,22.99
240,-0.409295,110.440565,1,0.5,22.99
241,-0.409295,110.443934,1,0.5,3.42
242,-0.409295,110.447303,1,0.5,3.42
243,-0.409295,110.450671,1,0.5,3.42
244,-0.409295,110.507939,1,0.5,6.61
245,-0.409295,110.511308,1,0.5,6.61
246,-0.409295,110.514676,1,0.5,6.61
247,-0.409295,110.524782,1,0.5,10.35
248,-0.409295,110.528151,1,0.5,10.35
249,-0.409295,110.53152,1,0.5,10.35
250,-0.409295,110.534888,1,0.5,10.35
251,-0.409295,110.555101,1,0.5,3.39
252,-0.409295,110.558469,1,0.5,3.39
253,-0.409295,110.561838,1,0.5,3.39
254,-0.412664,110.319293,2,0.5,117.11
255,-0.412664,110.322661,2,0.5,117.11
256,-0.412664,110.32603,1,0.5,117.11
257,-0.412664,110.339505,1,0.5,4.94
258,-0.412664,110.342874,1,0.5,4.94
259,-0.412664,110.346242,1,0.5,4.94
260,-0.412664,110.416985,2,0.5,17.32
261,-0.412664,110.420353,2,0.75,17.32
262,-0.412664,110.423722,2,0.75,17.32
263,-0.412664,110.427091,2,0.75,17.32
264,-0.412664,110.430459,1,0.5,12.58
265,-0.412664,110.433828,1,0.5,12.58
266,-0.412664,110.437197,1,1.0,13.21
267,-0.412664,110.440565,1,1.0,13.21
268,-0.412664,110.443934,1,1.0,13.21
269,-0.412664,110.447303,1,0.5,11.0
270,-0.412664,110.507939,1,0.5,6.61
271,-0.412664,110.511308,1,0.5,6.61
272,-0.412664,110.514676,1,0.5,6.61
273,-0.412664,110.524782,1,0.5,10.35
274,-0.412664,110.528151,1,0.5,10.35
275,-0.412664,110.53152,1,0.5,10.35
276,-0.412664,110.534888,1,0.5,10.35
277,-0.412664,110.555101,1,0.5,3.39
278,-0.412664,110.558469,1,0.5,3.39
279,-0.412664,110.561838,1,0.5,3.39
280,-0.416032,110.339505,1,0.5,4.94
281,-0.416032,110.342874,1,0.5,4.94
282,-0.416032,110.346242,1,0.5,4.94
283,-0.416032,110.413616,1,0.5,34.06
284,-0.416032,110.416985,3,0.5,34.06
285,-0.416032,110.420353,3,0.67,34.06
286,-0.416032,110.423722,2,0.75,17.32
287,-0.416032,110.427091,2,0.75,17.32
288,-0.416032,110.430459,1,0.5,12.58
289,-0.416032,110.433828,2,0.5,12.58
290,-0.416032,110.437197,1,1.0,13.21
291,-0.416032,110.440565,1,1.0,13.21
292,-0.416032,110.443934,1,1.0,13.21
293,-0.416032,110.447303,1,0.5,11.0
294,-0.416032,110.507939,1,0.5,6.61
295,-0.416032,110.511308,1,0.5,6.61
296,-0.416032,110.514676,1,0.5,6.61
297,-0.416032,110.528151,1,0.5,8.26
298,-0.416032,110.53152,1,0.5,8.26
299,-0.416032,110.534888,1,0.5,8.26
300,-0.416032,110.538257,1,0.5,33.68
301,-0.416032,110.541626,1,0.5,33.68
302,-0.416032,110.544995,1,0.5,33.68
303,-0.416032,110.555101,1,0.5,3.39
304,-0.416032,110.558469,1,0.5,3.39
305,-0.416032,110.561838,1,0.5,3.39
306,-0.419401,110.194652,1,0.5,3.14
307,-0.419401,110.19802,1,0.5,3.14
308,-0.419401,110.413616,1,0.5,34.06
309,-0.419401,110.416985,3,0.5,34.06
310,-0.419401,110.420353,3,0.67,34.06
311,-0.419401,110.423722,2,0.75,17.32
312,-0.419401,110.427091,2,0.75,17.32
313,-0.419401,110.433828,1,0.5,6.48
314,-0.419401,110.437197,1,1.0,13.21
315,-0.419401,110.440565,1,1.0,13.21
316,-0.419401,110.443934,1,1.0,13.21
317,-0.419401,110.447303,1,0.5,11.0
318,-0.419401,110.538257,1,0.5,33.68
319,-0.419401,110.541626,1,0.5,33.68
320,-0.419401,110.544995,1,0.5,33.68
321,-0.419401,110.548363,1,0.5,23.82
322,-0.42277,110.113803,1,0.5,5.12
323,-0.42277,110.117172,1,0.5,5.12
324,-0.42277,110.120541,1,0.5,5.12
325,-0.42277,110.123909,1,0.5,5.12
326,-0.42277,110.194652,1,0.5,3.14
327,-0.42277,110.19802,1,0.5,3.14
328,-0.42277,110.201389,1,0.5,3.14
329,-0.42277,110.413616,1,0.5,34.06
330,-0.42277,110.416985,1,0.5,34.06
