Cluster,Pixel_Count,Percentage,Mean_Hotspot_Frequency,Median_Hotspot_Frequency,Std_Hotspot_Frequency,Min_Hotspot_Frequency,Max_Hotspot_Frequency,Mean_FRP_Max,Median_FRP_Max,Std_FRP_Max,Min_FRP_Max,Max_FRP_Max
102,28,0.13898540653231412,1.0,1.0,0.0,1,1,10.272499999999999,10.27,0.005853140973806943,10.27,10.29
103,34,0.16876799364638143,1.0,1.0,0.0,1,1,10.221176470588237,10.22,0.00685994340570029,10.21,10.23
104,80,0.39710116152089747,1.0,1.0,0.0,1,1,9.453375,9.46,0.01757038287660223,9.42,9.47
105,27,0.13402164201330288,1.0,1.0,0.0,1,1,11.863333333333333,11.86,0.00733799385705338,11.85,11.87
106,39,0.1935868162414375,1.0,1.0,0.0,1,1,10.173589743589742,10.18,0.010879042984027656,10.15,10.18
107,37,0.18365928720341507,1.0,1.0,0.0,1,1,9.612432432432431,9.61,0.011644122362187278,9.58,9.63
108,39,0.1935868162414375,1.0,1.0,0.0,1,1,9.847179487179487,9.84,0.008255370803211658,9.84,9.86
109,33,0.1638042291273702,1.0,1.0,0.0,1,1,9.903333333333334,9.9,0.006454972243679541,9.88,9.91
110,50,0.24818822595056092,1.0,1.0,0.0,1,1,11.3332,11.34,0.01899946293548155,11.31,11.36
111,34,0.16876799364638143,2.0,2.0,0.0,2,2,13.513235294117647,13.545,0.09030992388957712,13.24,13.62
112,81,0.4020649260399086,2.0,2.0,0.0,2,2,12.950740740740741,12.96,0.13378880537789506,12.72,13.18
113,82,0.4070286905589198,1.0,1.0,0.0,1,1,12.35048780487805,12.35,0.019238749415503735,12.31,12.38
114,36,0.17869552268440386,1.0,1.0,0.0,1,1,12.279444444444444,12.28,0.007908203496349313,12.26,12.29
115,58,0.28789834210265064,1.0,1.0,0.0,1,1,11.242068965517241,11.24,0.030822560698842656,11.18,11.28
116,36,0.17869552268440386,1.0,1.0,0.0,1,1,11.14611111111111,11.15,0.00549169647365243,11.13,11.15
117,30,0.14891293557033655,1.0,1.0,0.0,1,1,11.782666666666666,11.78,0.004497764451087321,11.78,11.79
118,34,0.16876799364638143,1.0,1.0,0.0,1,1,11.816764705882354,11.82,0.008060599359357361,11.8,11.83
119,37,0.18365928720341507,1.0,1.0,0.0,1,1,9.747297297297298,9.75,0.013259933100352868,9.72,9.77
120,60,0.2978258711406731,1.0,1.0,0.0,1,1,10.082833333333333,10.08,0.02034379651139733,10.05,10.12
121,52,0.2581157549885833,1.0,1.0,0.0,1,1,10.002884615384614,10.0,0.0219032219370043,9.97,10.04
122,26,0.12905787749429165,1.0,1.0,0.0,1,1,9.7,9.7,0.0,9.7,9.7
123,45,0.22336940335550481,1.0,1.0,0.0,1,1,9.674666666666667,9.68,0.008146387933534642,9.66,9.68
124,30,0.14891293557033655,1.0,1.0,0.0,1,1,8.366999999999999,8.37,0.004660915996993164,8.36,8.37
125,33,0.1638042291273702,1.0,1.0,0.0,1,1,8.335454545454546,8.34,0.005056498968474936,8.33,8.34
126,47,0.23329693239352725,1.0,1.0,0.0,1,1,7.670425531914893,7.67,0.011025158346198638,7.65,7.69
127,65,0.3226446937357292,1.0,1.0,0.0,1,1,1.5067692307692306,1.5,0.03746280206366753,1.46,1.6
128,37,0.18365928720341507,1.0,1.0,0.0,1,1,1.6294594594594594,1.63,0.014519325425473737,1.61,1.66
129,70,0.34746351633078526,1.0,1.0,0.0,1,1,8.165428571428572,8.16,0.028624794881144132,8.12,8.2
130,42,0.20847810979847115,1.0,1.0,0.0,1,1,8.247619047619047,8.245000000000001,0.008499504665485758,8.24,8.26
131,74,0.36731857440683013,1.0,1.0,0.0,1,1,8.291891891891892,8.29,0.010293724072260615,8.28,8.31
132,93,0.4616301002680433,1.0,1.0,0.0,1,1,7.811935483870967,7.82,0.028217249754905534,7.76,7.85
133,47,0.23329693239352725,1.0,1.0,0.0,1,1,7.891276595744681,7.88,0.018605401421957136,7.87,7.92
134,32,0.15884046460835896,1.0,1.0,0.0,1,1,8.085,8.085,0.005080005080007612,8.08,8.09
135,47,0.23329693239352725,1.0,1.0,0.0,1,1,6.953829787234042,6.96,0.01311374842597738,6.93,6.97
136,39,0.1935868162414375,1.0,1.0,0.0,1,1,8.054871794871795,8.05,0.005063696835418272,8.05,8.06
137,100,0.49637645190112184,1.0,1.0,0.0,1,1,6.779299999999999,6.78,0.02301756027054273,6.74,6.83
138,134,0.6651444455475032,1.0,1.0,0.0,1,1,6.882910447761193,6.88,0.02380448643079939,6.84,6.92
139,31,0.15387670008934776,1.0,1.0,0.0,1,1,7.609677419354839,7.61,0.00546740094727661,7.6,7.62
140,85,0.4219199841159535,1.0,1.0,0.0,1,1,7.562117647058823,7.56,0.015204488501368343,7.54,7.59
141,44,0.21840563883649358,1.0,1.0,0.0,1,1,7.965454545454546,7.97,0.005036862005092905,7.96,7.97
142,73,0.36235480988781893,1.0,1.0,0.0,1,1,7.00958904109589,7.01,0.01123466314635964,6.99,7.02
143,77,0.3822098679638638,1.0,1.0,0.0,1,1,8.02961038961039,8.03,0.010316256772374844,8.01,8.04
144,38,0.18862305172242627,1.0,1.0,0.0,1,1,7.996315789473685,8.0,0.004888515295293161,7.99,8.0
145,67,0.3325722227737516,1.0,1.0,0.0,1,1,7.316716417910447,7.32,0.010785520554932997,7.3,7.34
146,35,0.17373175816539263,1.0,1.0,0.0,1,1,9.342571428571429,9.34,0.004434395736310709,9.34,9.35
147,29,0.14394917105132532,1.0,1.0,0.0,1,1,9.31793103448276,9.32,0.00726012118396839,9.31,9.33
