pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max,Cluster
379,-0.436244,110.154227,1,0.5,1.89,-1
380,-0.436244,110.157596,1,0.5,1.89,-1
381,-0.436244,110.160965,1,0.5,1.89,-1
382,-0.436244,110.2755,2,0.75,29.0,-1
383,-0.436244,110.278869,2,0.5,29.0,-1
384,-0.436244,110.349611,2,0.5,6.72,-1
385,-0.436244,110.35298,2,0.5,6.72,-1
386,-0.436244,110.356348,2,0.5,6.72,-1
387,-0.436244,110.420353,1,0.5,5.16,158
388,-0.436244,110.423722,2,0.5,8.24,294
389,-0.436244,110.427091,2,0.5,8.24,294
390,-0.436244,110.430459,1,0.5,8.24,130
391,-0.436244,110.443934,1,0.5,5.3,160
392,-0.436244,110.447303,1,0.5,5.3,160
393,-0.436244,110.450671,1,0.5,5.3,160
394,-0.436244,110.470884,1,0.5,6.29,188
395,-0.436244,110.474252,1,0.5,6.29,188
396,-0.436244,110.477621,1,0.5,6.29,188
397,-0.436244,110.484358,1,0.5,3.55,329
398,-0.436244,110.487727,1,0.5,3.55,329
399,-0.436244,110.491096,1,0.5,3.55,329
400,-0.436244,110.561838,1,0.5,3.98,303
401,-0.436244,110.565207,1,0.5,3.98,303
402,-0.436244,110.568575,1,0.5,3.98,303
403,-0.439613,110.272131,1,1.0,15.83,-1
404,-0.439613,110.2755,1,1.0,15.83,-1
405,-0.439613,110.278869,1,0.5,12.03,89
406,-0.439613,110.309187,1,0.5,3.63,283
407,-0.439613,110.315924,1,1.0,17.17,39
408,-0.439613,110.319293,1,1.0,17.17,39
409,-0.439613,110.322661,1,1.0,17.17,39
410,-0.439613,110.349611,2,0.5,6.72,-1
411,-0.439613,110.35298,2,0.5,6.72,-1
412,-0.439613,110.356348,2,0.5,6.72,-1
413,-0.439613,110.40351,1,0.5,2.36,229
414,-0.439613,110.406879,1,0.5,2.36,229
415,-0.439613,110.410247,1,0.5,2.36,229
416,-0.439613,110.420353,1,0.5,5.16,158
417,-0.439613,110.423722,1,0.5,5.16,158
418,-0.439613,110.427091,1,0.5,5.16,158
419,-0.439613,110.443934,1,0.5,5.3,160
420,-0.439613,110.447303,1,0.5,5.3,160
